,BR43,BR42,BR41,BR35,BR50,BR53,BR51
,RS,SC,PR,SP,MS,GO,MT
,Rio Grande do Sul,Santa Catarina,Paraná,São Paulo,Mato Grosso do Sul,Goiás,Mato Grosso
1974,1397.0,1182.0,1932.0,1558.0,...,900.0,1756.0
1975,1506.0,1292.0,2221.0,1733.0,...,1320.0,1403.0
1976,1549.0,1208.0,2160.0,1942.0,...,1480.0,1520.0
1977,1627.0,1359.0,2136.0,1709.0,...,1320.0,1687.0
1978,1217.0,868.0,1341.0,1334.0,...,1040.0,959.0
1979,900.0,894.0,1709.0,1583.0,1426.0,1850.0,1385.0
1980,1439.0,1381.0,2240.0,1960.0,1639.0,1852.0,1664.0
1981,1595.0,1340.0,2199.0,1901.0,1734.0,1320.0,1873.0
1982,1192.0,1200.0,2000.0,1925.0,1825.0,1768.0,1881.0
1983,1548.0,1128.0,2134.0,2055.0,1946.0,1870.0,2025.0
1984,1487.0,1370.0,1892.0,1802.0,1699.0,1456.0,1951.0
1985,1570.0,1342.0,2009.0,1926.0,1957.0,1847.0,2082.0
1986,1008.0,1302.0,1490.0,1929.0,1630.0,1815.0,2104.0
1987,1582.0,1259.0,2218.0,2000.0,1984.0,1954.0,2178.0
1988,1057.0,1345.0,2247.0,1955.0,2109.0,1937.0,2043.0
1989,1716.0,1514.0,2096.0,2278.0,2195.0,2074.0,2228.0
1990,1795.0,1467.0,2050.0,1669.0,1622.0,1294.0,2006.0
1991,712.0,953.0,1790.0,1953.0,1895.0,2082.0,2351.0
1992,1963.0,1803.0,1900.0,1833.0,1988.0,2184.0,2505.0
1993,1971.0,1976.0,2297.0,1992.0,2145.0,2039.0,2453.0
1994,1708.0,1999.0,2475.0,2222.0,2171.0,2080.0,2629.0
1995,1945.0,2176.0,2581.0,2236.0,2187.0,1914.0,2364.0
1996,1698.0,2419.0,2698.0,2190.0,2409.0,2229.0,2572.0
1997,1616.0,2402.0,2590.0,2449.0,2466.0,2411.0,2764.0
1998,2037.0,2354.0,2558.0,1949.0,2091.0,2465.0,2734.0
1999,1464.0,2142.0,2781.0,2730.0,2606.0,2563.0,2836.0
2000,1593.0,2470.0,2515.0,2224.0,2261.0,2744.0,3018.0
2001,2337.0,2687.0,3057.0,2557.0,2925.0,2633.0,3054.0
2002,1702.0,2206.0,2881.0,2705.0,2732.0,2840.0,3060.0
2003,2667.0,2770.0,3017.0,2660.0,2898.0,2903.0,2937.0
2004,1396.0,2040.0,2547.0,2377.0,1827.0,2351.0,2758.0
2005,654.0,1732.0,2284.0,2180.0,1836.0,2622.0,2908.0
2006,1956.0,2409.0,2381.0,2510.0,2181.0,2414.0,2683.0
2007,2552.0,2883.0,2963.0,2613.0,2820.0,2738.0,3009.0
2008,2019.0,2535.0,2973.0,2749.0,2639.0,3029.0,3145.0
2009,2099.0,2578.0,2307.0,2684.0,2367.0,2940.0,3080.0
2010,2611.0,3130.0,3145.0,2853.0,3082.0,2965.0,3017.0
2011,2876.0,3259.0,3393.0,2756.0,2923.0,3009.0,3223.0
2012,1430.0,2392.0,2454.0,2785.0,2534.0,3146.0,3129.0
2013,2698.0,3043.0,3347.0,3022.0,2909.0,3024.0,2959.0
2014,2615.0,2978.0,2976.0,2468.0,2938.0,2814.0,3076.0
2015,2983.0,3287.0,3288.0,3039.0,3108.0,2640.0,3106.0
2016,2982.0,3238.0,3141.0,3290.0,3062.0,3093.0,2887.0
2017,3385.0,3698.0,3663.0,3478.0,3473.0,3414.0,3290.0
2018,3104.0,3470.0,3540.0,3505.0,3638.0,3462.0,3349.0